iter	RMSE
0	1673.591521
1	1629.791747
2	1588.022022
3	1549.03816
4	1514.198126
5	1479.497883
6	1447.456553
7	1418.592517
8	1391.437732
9	1367.098287
10	1344.288437
11	1323.640284
12	1305.551484
13	1288.159238
14	1274.167793
15	1258.843928
16	1244.724789
17	1231.38853
18	1219.066654
19	1208.751314
20	1198.6689
21	1188.992042
22	1180.310243
23	1172.087823
24	1165.012273
25	1158.502046
26	1152.37491
27	1146.971479
28	1142.529652
29	1137.314311
30	1132.303231
31	1128.163562
32	1124.924341
33	1121.575362
34	1118.640414
35	1115.591973
36	1113.273667
37	1110.736233
38	1108.82623
39	1106.636248
40	1104.423972
41	1102.536657
42	1100.82521
43	1099.390576
44	1097.682617
45	1096.460892
46	1095.408395
47	1094.145131
48	1092.991667
49	1091.681042
50	1090.801121
51	1089.680847
52	1089.011322
53	1088.183755
54	1087.289665
55	1086.665777
56	1085.989301
57	1085.368096
58	1084.770523
59	1084.110362
60	1083.455156
61	1082.876913
62	1082.297638
63	1081.607286
64	1081.019951
65	1080.611044
66	1080.2026
67	1079.785617
68	1079.32154
69	1078.873706
70	1078.514983
71	1078.053881
72	1077.718631
73	1077.428209
74	1076.940333
75	1076.65601
76	1076.473107
77	1075.96914
78	1075.359452
79	1074.998116
80	1074.710824
81	1074.447029
82	1074.076675
83	1073.717016
84	1073.385282
85	1073.104273
86	1072.850846
87	1072.274903
88	1072.029501
89	1071.80736
90	1071.4002
91	1070.994277
92	1070.767394
93	1070.438532
94	1070.070586
95	1069.896266
96	1069.602073
97	1069.283904
98	1068.948357
99	1068.510905
