iter	Passed	Remaining
0	2	231
1	4	234
2	6	226
3	9	221
4	11	220
5	13	217
6	16	213
7	18	210
8	20	209
9	23	208
10	25	207
11	28	206
12	30	203
13	32	201
14	35	200
15	37	197
16	40	195
17	42	193
18	44	191
19	47	189
20	49	187
21	52	186
22	54	183
23	57	181
24	59	178
25	61	175
26	64	173
27	66	171
28	68	168
29	71	165
30	73	163
31	75	161
32	78	158
33	80	156
34	82	153
35	85	151
36	87	149
37	89	146
38	92	144
39	94	142
40	97	140
41	99	137
42	102	135
43	104	133
44	106	130
45	109	128
46	111	126
47	114	124
48	117	122
49	120	120
50	123	118
51	126	116
52	128	114
53	131	112
54	134	109
55	136	107
56	138	104
57	141	102
58	143	99
59	146	97
60	148	95
61	151	92
62	153	90
63	156	87
64	159	85
65	161	83
66	163	80
67	166	78
68	169	76
69	171	73
70	174	71
71	176	68
72	179	66
73	181	63
74	184	61
75	187	59
76	190	56
77	193	54
78	197	52
79	199	49
80	202	47
81	204	44
82	207	42
83	209	39
84	212	37
85	214	34
86	216	32
87	219	29
88	221	27
89	223	24
90	226	22
91	228	19
92	231	17
93	233	14
94	235	12
95	238	9
96	240	7
97	242	4
98	245	2
99	247	0
