iter	RMSE
0	1677.393562
1	1629.981685
2	1588.018497
3	1552.946589
4	1514.897559
5	1481.580106
6	1449.182019
7	1419.12729
8	1391.285934
9	1365.260479
10	1343.534105
11	1321.218933
12	1300.538735
13	1283.704364
14	1265.86142
15	1250.029016
16	1235.831515
17	1223.160817
18	1211.03927
19	1200.400751
20	1190.893312
21	1181.520249
22	1173.977575
23	1166.077696
24	1159.385964
25	1152.811835
26	1146.788628
27	1141.149287
28	1136.259569
29	1132.007594
30	1128.091539
31	1124.239039
32	1120.966972
33	1117.650283
34	1114.860201
35	1112.796228
36	1110.490037
37	1108.312044
38	1106.466942
39	1104.597718
40	1103.032797
41	1101.36535
42	1099.96908
43	1098.565411
44	1097.307371
45	1096.205859
46	1095.188623
47	1093.987373
48	1092.903664
49	1092.131121
50	1091.459865
51	1090.732431
52	1089.939243
53	1089.275563
54	1088.644097
55	1088.2113
56	1087.551264
57	1087.137199
58	1086.539697
59	1086.299983
60	1085.82593
61	1085.457788
62	1084.971733
63	1084.562951
64	1084.222742
65	1083.899313
66	1083.336996
67	1082.958619
68	1082.653127
69	1082.282384
70	1081.825482
71	1081.478789
72	1081.140317
73	1080.598331
74	1080.264726
75	1080.025244
76	1079.799468
77	1079.456369
78	1079.072341
79	1078.778876
80	1078.522951
81	1078.322278
82	1078.037885
83	1077.954361
84	1077.78793
85	1077.474261
86	1077.035791
87	1076.689292
88	1076.354404
89	1075.998603
90	1075.856974
91	1075.708576
92	1075.32653
93	1075.053293
94	1074.544276
95	1074.267101
96	1073.848647
97	1073.491685
98	1073.304504
99	1073.082174
100	1072.81049
101	1072.528769
102	1072.242618
103	1071.948513
104	1071.784779
105	1071.602939
106	1071.337675
107	1071.21522
108	1071.082099
109	1070.859073
110	1070.370707
111	1070.056189
112	1069.635512
113	1069.227941
114	1068.941372
115	1068.664589
116	1068.304894
117	1068.021503
118	1067.454008
119	1067.161859
120	1066.824299
121	1066.744481
122	1066.649302
123	1066.281113
124	1066.268964
125	1065.969817
126	1065.850171
127	1065.466464
128	1065.345782
129	1065.232432
130	1065.021115
131	1064.747139
132	1064.471323
133	1064.177631
134	1063.769655
135	1063.612831
136	1063.457798
137	1063.310979
138	1063.02488
139	1062.680509
140	1062.386656
141	1062.11495
142	1061.69589
143	1061.358452
144	1061.090704
145	1060.833585
146	1060.582292
147	1060.23656
148	1060.150399
149	1059.684196
150	1059.432515
151	1059.244078
152	1059.080243
153	1058.982755
154	1058.754921
155	1058.12614
156	1057.971871
157	1057.725639
158	1057.481901
159	1056.985627
160	1056.877073
161	1056.633081
162	1056.54401
163	1056.036008
164	1055.812894
165	1055.571024
166	1055.238798
167	1054.973401
168	1054.718308
169	1054.525023
170	1054.115974
171	1053.52234
172	1053.127747
173	1052.983547
174	1052.925197
175	1052.669311
176	1052.356701
177	1051.984393
178	1051.711077
179	1051.329978
180	1051.079076
181	1050.85225
182	1050.614762
183	1050.121305
184	1049.730072
185	1049.335934
186	1049.078544
187	1048.67557
188	1048.29707
189	1048.004763
190	1047.661279
191	1047.239503
192	1046.870158
193	1046.551504
194	1046.325422
195	1046.224668
196	1045.955958
197	1045.744917
198	1045.487764
199	1045.260335
200	1044.832215
201	1044.503572
202	1044.108787
203	1043.879351
204	1043.509236
205	1043.386669
206	1042.965684
207	1042.800597
208	1042.460839
209	1042.161857
210	1041.887034
211	1041.638196
212	1041.22358
213	1040.820549
214	1040.325146
215	1040.089594
216	1039.62504
217	1039.122365
218	1038.603889
219	1038.447847
220	1038.138225
221	1037.771556
222	1037.241108
223	1036.776264
224	1036.435793
225	1035.947271
226	1035.557589
227	1035.307688
228	1034.651856
229	1034.419313
230	1034.107377
231	1033.757324
232	1033.329797
233	1033.155021
234	1032.758334
235	1032.393277
236	1032.214387
237	1032.058967
238	1031.904278
239	1031.724799
240	1031.419519
241	1031.087746
242	1030.935903
243	1030.716094
244	1030.516588
245	1030.173189
246	1029.978482
247	1029.608165
248	1029.364447
249	1028.944899
250	1028.551689
251	1028.269474
252	1027.843379
253	1027.485379
254	1027.131304
255	1026.78552
256	1026.463926
257	1026.214403
258	1026.119669
259	1025.694623
260	1025.420905
261	1025.100136
262	1024.794774
263	1024.665492
264	1024.276404
265	1023.781112
266	1023.56265
267	1023.245183
268	1022.981577
269	1022.687065
270	1022.406128
271	1022.106552
272	1021.852854
273	1021.608986
274	1021.303315
275	1021.006319
276	1020.683171
277	1020.357791
278	1020.087378
279	1019.861249
280	1019.332556
281	1018.893393
282	1018.653005
283	1018.28884
284	1018.080156
285	1017.968594
286	1017.669666
287	1017.417568
288	1017.034111
289	1016.745041
290	1016.454179
291	1016.224136
292	1015.968365
293	1015.774288
294	1015.488757
295	1015.212803
296	1015.11069
297	1014.788409
298	1014.638508
299	1014.363176
300	1014.097355
301	1013.922191
302	1013.572158
303	1013.363069
304	1012.918845
305	1012.764571
306	1012.649233
307	1012.30304
308	1011.982601
309	1011.781591
310	1011.556048
311	1011.368113
312	1011.230269
313	1010.972647
314	1010.515497
315	1010.262689
316	1009.907166
317	1009.756758
318	1009.474977
319	1009.036995
320	1008.782894
321	1008.553934
322	1008.33417
323	1008.085279
324	1007.883252
325	1007.651094
326	1007.424262
327	1007.235461
328	1007.030807
329	1006.661586
330	1006.096466
331	1005.850152
332	1005.678231
333	1005.415107
334	1005.093826
335	1004.898318
336	1004.489692
337	1004.301021
338	1004.043119
339	1003.718582
340	1003.495597
341	1003.211601
342	1002.826139
343	1002.50732
344	1002.363941
345	1002.223581
346	1001.91603
347	1001.593306
348	1001.439194
349	1001.239366
350	1001.035585
351	1000.845486
352	1000.671526
353	1000.446347
354	1000.274714
355	1000.098446
356	999.9298321
357	999.6885694
358	999.4051534
359	999.0841068
360	998.8189249
361	998.5323458
362	998.4035397
363	998.1624409
364	997.8125233
365	997.5430965
366	997.2496307
367	997.0792905
368	996.8028677
369	996.6634704
370	996.4521956
371	996.2592824
372	995.8817844
373	995.7620613
374	995.5652794
375	995.3541199
376	995.1098528
377	994.9542694
378	994.6984968
379	994.3924942
380	994.1432238
381	993.8398523
382	993.7198469
383	993.4813908
